text,emotion,emotion_group,platform,country,timestamp,likes,retweets,textblob_score,textblob_sentiment,vader_score,vader_sentiment,sentiment
Enjoying a beautiful day at the park!,Positive,Positive,Twitter,USA,2023-01-15 12:30:00,30,15,0.675,Positive,0.8221,Positive,Positive
Traffic was terrible this morning.,Negative,Negative,Twitter,Canada,2023-01-15 08:45:00,10,5,-1.0,Negative,-0.4767,Negative,Negative
Just finished an amazing workout! 💪,Positive,Positive,Instagram,USA,2023-01-15 15:45:00,40,20,0.6,Positive,0.6239,Positive,Positive
Excited about the upcoming weekend getaway!,Positive,Positive,Facebook,UK,2023-01-15 18:20:00,15,8,0.375,Positive,0.4003,Positive,Positive
Trying out a new recipe for dinner tonight.,Neutral,Neutral,Instagram,Australia,2023-01-15 19:55:00,25,12,0.1364,Positive,0.0,Neutral,Neutral
Feeling grateful for the little things in life.,Positive,Positive,Twitter,India,2023-01-16 09:10:00,50,25,-0.1875,Negative,0.5423,Positive,Positive
Rainy days call for cozy blankets and hot cocoa.,Positive,Positive,Facebook,Canada,2023-01-16 14:45:00,20,10,0.025,Neutral,-0.0772,Negative,Negative
The new movie release is a must-watch!,Positive,Positive,Instagram,USA,2023-01-16 19:30:00,30,15,0.1364,Positive,0.0,Neutral,Neutral
Political discussions heating up on the timeline.,Negative,Negative,Twitter,USA,2023-01-17 08:00:00,60,30,0.0,Neutral,0.0,Neutral,Neutral
Missing summer vibes and beach days.,Neutral,Neutral,Facebook,Australia,2023-01-17 12:20:00,35,18,-0.2,Negative,-0.296,Negative,Negative
Just published a new blog post. Check it out!,Positive,Positive,Instagram,USA,2023-01-17 15:15:00,45,22,0.1364,Positive,0.0,Neutral,Neutral
Feeling a bit under the weather today.,Negative,Negative,Twitter,Canada,2023-01-18 10:30:00,15,7,0.0,Neutral,0.128,Positive,Positive
Exploring the city's hidden gems.,Positive,Positive,Facebook,UK,2023-01-18 14:50:00,25,12,-0.1667,Negative,0.0,Neutral,Neutral
"New year, new fitness goals! 💪",Positive,Positive,Instagram,USA,2023-01-18 18:00:00,55,28,0.1364,Positive,0.3382,Positive,Positive
Technology is changing the way we live.,Neutral,Neutral,Twitter,India,2023-01-19 09:45:00,30,15,0.1364,Positive,0.0,Neutral,Neutral
Reflecting on the past and looking ahead.,Positive,Positive,Facebook,USA,2023-01-19 13:20:00,40,20,-0.25,Negative,0.0,Neutral,Neutral
